0,7,1,1,0.87
0,14,1,6,0.82
0,8,1,3,0.79
0,10,1,3,0.76
0,19,2,6,0.7
0,8,1,1,0.69
0,17,1,10,0.65
0,5,1,2,0.63
0,5,1,2,0.62
0,37,4,8,0.56
0,29,1,9,0.53
0,14,1,3,0.51
0,30,1,8,0.47
0,22,1,5,0.45
0,18,1,4,0.42
2,55,2,10,0.39
0,11,1,4,0.37
0,26,1,5,0.36
0,17,1,4,0.35
0,16,1,5,0.33
0,13,1,2,0.33
0,10,1,3,0.32
0,13,1,2,0.31
0,19,1,1,0.3
0,52,2,6,0.28
0,16,1,4,0.27
0,12,1,3,0.27
0,5,1,3,0.26
0,20,1,3,0.26
0,20,1,4,0.25
1,67,2,5,0.23
0,24,1,5,0.23
0,12,1,0,0.23
0,36,1,7,0.21
0,90,1,16,0.19
0,28,1,2,0.18
0,31,1,6,0.17
0,11,1,3,0.17
0,45,1,6,0.17
0,11,1,3,0.17
0,26,1,17,0.16
0,95,1,9,0.15
0,56,1,6,0.14
1,107,2,12,0.13
0,44,1,2,0.13
0,96,1,10,0.12
0,9,1,3,0.12
4,400,4,121,0.1
1,189,2,28,0.09
0,61,1,5,0.09
0,112,1,22,0.08
1,117,2,24,0.08
0,22,1,4,0.08
6,265,3,40,0.07
0,56,1,5,0.06
0,42,1,3,0.06
1,301,2,57,0.06
0,156,1,24,0.06
0,400,1,108,0.05
0,104,1,3,0.05
1,245,2,47,0.05
0,63,1,9,0.05
0,200,2,21,0.05
0,62,2,6,0.04
0,74,1,5,0.04
0,154,2,35,0.04
1,239,2,69,0.04
4,348,3,73,0.04
3,400,3,117,0.04
0,375,1,14,0.03
2,141,2,38,0.03
1,400,2,94,0.03
0,109,1,15,0.03
2,343,3,195,0.03
0,269,1,211,0.03
0,35,1,3,0.03
0,5,1,3,0.03
1,236,2,56,0.03
2,166,2,70,0.03
0,400,0,58,0.02
0,132,1,46,0.02
0,257,2,71,0.02
0,400,1,164,0.02
1,164,2,69,0.02
0,400,0,105,0.02
2,168,2,28,0.02
3,285,2,141,0.02
0,400,0,195,0.02
0,227,1,62,0.02
0,400,0,31,0.02
1,400,1,85,0.02
2,281,2,69,0.02
1,400,1,34,0.02
0,14,1,2,0.02
0,400,0,85,0.02
0,400,0,199,0.02
0,234,1,4,0.02
0,400,0,98,0.02
0,400,0,249,0.02
0,187,1,45,0.5
0,13,1,4,0.48
0,10,1,4,0.46
0,24,2,9,0.44
0,25,1,7,0.42
0,70,2,28,0.36
0,8,1,3,0.35
1,50,2,11,0.32
1,77,3,17,0.29
1,153,2,64,0.24
0,66,3,11,0.22
0,7,1,1,0.22
2,38,2,3,0.21
1,35,2,2,0.21
0,103,1,38,0.19
0,71,2,7,0.18
0,14,1,0,0.18
1,50,2,5,0.17
0,29,1,4,0.16
0,62,1,2,0.16
0,86,1,5,0.15
0,32,2,1,0.14
0,64,1,6,0.14
0,69,1,7,0.13
1,90,2,4,0.12
0,81,2,3,0.12
0,29,1,1,0.12
0,8,1,1,0.11
0,45,1,3,0.11
0,126,1,4,0.1
0,37,1,2,0.1
0,21,1,0,0.1
0,30,1,1,0.1
0,78,1,6,0.09
0,98,1,4,0.09
1,69,2,3,0.09
1,142,2,10,0.08
0,82,1,7,0.08
0,5,1,0,0.08
0,24,1,1,0.08
0,5,1,1,0.07
0,138,1,3,0.07
0,174,2,6,0.07
0,100,1,3,0.07
0,232,1,10,0.06
0,18,1,1,0.06
0,134,1,5,0.06
0,16,1,0,0.06
0,166,1,4,0.05
0,182,1,3,0.05
0,109,2,5,0.05
0,96,1,4,0.05
0,59,1,0,0.05
0,114,2,3,0.05
0,391,1,9,0.04
0,90,1,0,0.04
0,400,2,10,0.04
0,48,1,3,0.04
0,28,1,1,0.04
1,264,2,6,0.03
1,400,1,5,0.03
0,186,1,3,0.03
1,400,1,5,0.03
0,221,1,6,0.03
2,376,2,4,0.03
0,375,1,4,0.03
1,400,1,2,0.02
0,313,1,5,0.02
1,400,1,5,0.02
1,106,2,0,0.02
0,280,1,5,0.02
1,224,2,5,0.02
0,12,1,0,0.02
2,400,1,4,0.02
0,400,0,3,0.02
1,290,2,1,0.02
0,305,1,2,0.02
0,400,0,7,0.02
1,400,2,2,0.02
0,201,1,1,0.02
0,400,0,4,0.02
1,400,1,7,0.01
1,400,1,3,0.01
0,400,0,1,0.01
0,115,1,2,0.01
0,6,1,0,0.01
0,115,1,2,0.01
0,400,0,2,0.01
0,87,1,0,0.01
0,23,1,0,0.01
0,65,1,0,0.01
1,370,2,3,0.01
0,196,1,1,0.01
0,400,0,1,0.01
2,400,1,2,0.01
0,194,1,1,0.01
0,400,2,1,0.01
2,116,2,2,0.01
0,76,2,0,0.01
1,337,2,0,0.01
1,62,2,0,0.5
0,10,1,2,0.49
0,13,1,1,0.48
0,21,1,4,0.46
0,8,1,2,0.45
0,20,1,6,0.43
0,12,1,2,0.42
0,62,2,16,0.37
2,31,2,6,0.34
