Score,Steps,Bombs_placed,Invalid_moves,Epsilon
1,35,1,15,0.19
6,76,1,27,0.18
3,81,2,26,0.17
4,31,1,8,0.16
13,122,2,37,0.15
6,32,1,15,0.14
1,20,1,7,0.14
2,20,1,9,0.14
8,94,1,32,0.13
5,36,1,14,0.13
18,210,2,69,0.11
2,32,2,13,0.11
0,12,1,7,0.11
4,20,1,6,0.11
1,25,1,14,0.11
3,20,1,6,0.11
14,219,2,83,0.1
1,6,1,3,0.1
6,40,2,15,0.09
8,98,3,48,0.09
8,98,1,35,0.09
18,268,1,154,0.08
2,26,1,12,0.08
5,163,2,99,0.08
1,39,1,29,0.07
0,5,1,3,0.07
0,10,1,8,0.07
2,110,1,90,0.07
0,25,1,22,0.07
2,99,1,76,0.07
3,397,1,330,0.06
1,30,1,24,0.06
7,214,1,163,0.06
5,194,1,112,0.5
1,15,1,7,0.48
1,10,1,2,0.48
1,18,2,7,0.46
1,47,2,29,0.41
1,6,1,2,0.41
2,8,1,3,0.4
1,33,1,19,0.37
1,13,1,7,0.36
0,15,1,7,0.36
1,72,1,18,0.33
1,6,1,3,0.32
0,48,1,32,0.3
1,16,1,14,0.3
3,44,1,19,0.29
0,23,1,8,0.28
1,20,1,13,0.27
0,14,1,6,0.27
2,14,1,6,0.26
3,41,2,18,0.25
2,33,1,21,0.24
3,47,1,20,0.23
3,74,2,30,0.21
3,42,2,16,0.2
2,36,1,18,0.19
0,84,1,40,0.18
0,9,1,7,0.18
0,6,1,1,0.18
0,8,1,5,0.17
0,34,1,19,0.17
1,22,1,15,0.16
0,76,1,41,0.16
1,47,1,22,0.15
1,71,1,16,0.15
0,146,1,44,0.13
0,47,1,9,0.12
0,23,1,9,0.12
1,69,1,14,0.12
2,87,1,8,0.11
3,31,1,2,0.11
1,42,1,5,0.1
1,75,1,2,0.1
0,98,1,1,0.1
2,102,1,3,0.09
0,139,1,2,0.09
0,7,1,0,0.09
0,186,1,5,0.08
0,176,1,6,0.08
1,38,1,1,0.07
1,400,0,9,0.06
0,32,1,0,0.06
2,135,1,2,0.06
0,5,1,1,0.06
0,82,1,3,0.06
3,336,1,8,0.05
1,21,1,0,0.05
1,229,1,7,0.05
0,59,1,2,0.05
0,42,1,0,0.05
0,17,1,0,0.05
0,95,1,1,0.05
0,134,1,6,0.05
0,61,1,4,0.04
0,183,1,14,0.04
2,400,0,6,0.04
0,122,1,3,0.04
2,106,1,0,0.04
1,108,1,1,0.04
2,400,0,10,0.04
0,18,1,0,0.04
0,98,1,3,0.04
0,44,1,0,0.04
0,8,1,0,0.04
0,19,1,2,0.04
0,76,1,5,0.03
1,181,1,9,0.03
1,338,1,11,0.03
3,373,1,6,0.03
1,63,1,0,0.03
1,148,1,8,0.03
2,180,1,8,0.03
0,332,1,18,0.03
0,188,1,5,0.03
1,58,1,4,0.03
1,156,1,8,0.03
1,280,1,4,0.03
1,196,1,9,0.02
1,39,1,2,0.02
0,362,1,20,0.02
1,157,1,20,0.02
2,400,0,30,0.02
0,288,1,23,0.02
2,364,1,4,0.02
0,7,1,1,0.02
0,330,1,7,0.02
2,95,1,3,0.02
1,257,1,15,0.02
1,246,1,19,0.02
1,400,0,30,0.02
2,400,0,32,0.02
1,400,0,25,0.5
0,7,1,4,0.49
0,14,1,1,0.47
1,9,1,3,0.46
0,10,1,7,0.45
0,59,1,34,0.4
1,8,1,3,0.39
3,27,1,14,0.38
2,47,1,32,0.35
0,29,1,15,0.33
0,15,1,13,0.32
1,30,1,18,0.3
2,25,1,12,0.29
2,65,1,41,0.27
0,12,1,4,0.26
3,51,1,35,0.24
0,6,1,5,0.24
0,46,1,18,0.23
1,6,1,2,0.23
1,6,1,3,0.23
3,26,1,10,0.22
0,10,1,8,0.22
1,10,1,7,0.21
1,21,1,16,0.21
2,87,1,59,0.19
0,16,1,10,0.18
0,5,1,4,0.18
0,57,1,36,0.17
0,20,1,17,0.17
2,16,1,9,0.17
2,44,1,32,0.16
1,58,1,36,0.16
2,81,1,56,0.15
0,8,1,5,0.15
0,11,1,7,0.15
3,41,1,17,0.14
0,20,1,13,0.14
4,114,1,40,0.13
1,16,1,8,0.13
0,59,1,27,0.12
2,244,1,91,0.11
0,5,1,2,0.11
3,49,1,4,0.11
5,63,1,23,0.1
1,19,1,7,0.1
0,42,1,19,0.1
1,47,1,12,0.1
4,188,1,12,0.09
0,6,1,3,0.09
7,168,1,18,0.08
4,123,1,14,0.08
0,247,1,44,0.07
7,213,1,56,0.07
1,31,1,7,0.07
3,112,1,27,0.06
1,107,1,53,0.06
9,400,0,68,0.06
2,74,1,21,0.05
1,234,1,109,0.05
1,154,1,91,0.05
0,33,1,14,0.05
4,315,1,177,0.04
1,55,1,33,0.04
5,85,1,43,0.04
2,60,1,35,0.04
5,258,1,59,0.04
12,337,1,62,0.04
8,131,1,17,0.04
11,372,1,37,0.03
5,20,1,1,0.03
5,400,0,52,0.03
5,83,1,5,0.03
3,114,1,16,0.03
15,176,1,15,0.03
8,368,1,27,0.03
20,400,1,30,0.03
7,129,1,32,0.03
7,141,1,8,0.03
8,297,1,26,0.03
7,400,0,44,0.02
9,400,0,48,0.02
17,400,0,38,0.02
4,325,1,33,0.02
10,309,1,14,0.02
3,61,1,12,0.02
7,285,1,41,0.02
17,400,1,42,0.02
11,235,1,9,0.02
8,115,1,7,0.02
18,361,1,26,0.02
4,23,1,2,0.02
6,250,1,29,0.02
6,102,2,7,0.02
2,29,1,0,0.02
27,363,2,23,0.02
20,400,0,36,0.01
14,132,1,2,0.01
8,400,0,46,0.01
13,341,1,36,0.01
9,60,1,3,0.01
18,369,1,23,0.5
3,42,1,8,0.46
2,11,1,4,0.45
3,32,1,3,0.42
5,46,1,7,0.38
4,31,1,3,0.36
0,9,1,3,0.35
0,21,1,4,0.34
1,13,1,5,0.33
7,84,4,3,0.3
20,254,4,15,0.21
2,15,1,7,0.21
1,12,1,1,0.21
11,77,1,4,0.2
3,29,1,2,0.19
4,73,1,3,0.18
2,7,1,0,0.18
1,10,1,3,0.18
11,121,2,4,0.16
1,26,1,5,0.16
5,32,1,3,0.15
14,144,1,4,0.14
21,353,2,15,0.11
7,55,1,3,0.11
2,54,1,3,0.11
0,34,1,5,0.11
1,15,1,1,0.1
4,47,1,3,0.1
1,42,1,5,0.1
3,24,1,1,0.1
2,27,1,1,0.09
0,11,1,2,0.09
2,45,1,7,0.09
1,27,1,1,0.09
2,24,1,3,0.09
1,33,1,2,0.09
11,94,1,5,0.08
12,103,1,2,0.08
6,111,1,7,0.08
2,30,1,2,0.08
4,68,2,6,0.07
5,102,1,3,0.07
3,36,1,1,0.07
5,28,1,0,0.07
12,99,1,2,0.07
3,34,1,1,0.07
2,9,1,1,0.07
4,54,1,3,0.06
1,5,1,1,0.06
6,23,1,1,0.06
1,10,1,0,0.06
0,9,1,1,0.06
4,18,1,2,0.06
22,182,2,2,0.06
17,108,2,1,0.06
21,156,1,6,0.05
19,121,1,6,0.05
15,97,1,0,0.05
7,128,1,3,0.05
30,331,2,4,0.05
16,138,1,3,0.04
8,50,2,0,0.04
10,54,1,3,0.04
9,68,1,0,0.04
20,117,1,2,0.04
16,175,1,4,0.04
29,400,0,3,0.04
32,400,1,3,0.03
16,191,1,3,0.03
27,277,2,3,0.03
26,400,1,2,0.03
15,107,1,3,0.03
15,235,1,4,0.03
19,400,2,1,0.03
19,223,2,3,0.03
9,150,1,1,0.03
11,400,0,0,0.03
22,284,4,2,0.02
18,300,2,3,0.02
16,400,2,2,0.02
12,37,1,0,0.02
21,400,0,1,0.02
