Score,Steps,Bombs_placed,Invalid_moves,Epsilon
5,190,15,15,0.01
2,142,7,10,0.01
4,115,9,7,0.01
1,61,7,8,0.01
4,37,4,2,0.01
3,107,7,2,0.01
1,50,6,3,0.01
3,306,22,20,0.01
1,153,10,8,0.01
3,325,16,14,0.01
4,205,13,7,0.01
2,112,8,9,0.01
1,202,11,6,0.01
6,268,15,8,0.01
0,21,3,1,0.01
2,102,8,2,0.01
1,41,4,5,0.01
3,296,19,11,0.01
2,138,8,10,0.01
0,51,5,7,0.01
4,400,26,15,0.01
2,262,9,6,0.01
2,117,8,12,0.01
3,207,9,9,0.01
3,101,9,8,0.01
2,80,6,4,0.01
2,106,8,9,0.01
2,94,7,6,0.01
2,196,12,7,0.01
1,27,3,5,0.01
1,37,4,1,0.01
9,109,9,14,0.01
3,154,13,11,0.01
4,131,5,8,0.01
4,341,19,17,0.01
2,172,9,15,0.01
1,149,11,8,0.01
4,92,9,3,0.01
1,43,4,6,0.01
2,83,7,8,0.01
3,113,6,3,0.01
2,71,6,6,0.01
3,166,9,4,0.01
1,68,7,6,0.01
0,52,5,6,0.01
6,94,9,7,0.01
2,99,7,2,0.01
1,104,6,11,0.01
2,167,9,6,0.01
2,277,12,7,0.01
2,237,10,7,0.01
2,72,5,4,0.01
2,95,6,10,0.01
5,225,10,9,0.01
2,262,15,19,0.01
0,45,6,5,0.01
3,45,4,3,0.01
3,96,8,5,0.01
2,70,6,4,0.01
0,87,9,6,0.01
0,60,7,7,0.01
2,65,6,6,0.01
3,137,7,11,0.01
2,121,7,8,0.01
4,212,10,11,0.01
0,57,6,9,0.01
6,168,11,6,0.01
0,22,3,3,0.01
5,181,11,6,0.01
2,138,7,5,0.01
6,346,26,17,0.01
2,64,6,8,0.01
1,205,12,11,0.01
2,254,25,15,0.01
0,61,7,9,0.01
3,240,12,4,0.01
5,215,12,5,0.01
1,95,8,9,0.01
1,44,5,8,0.01
0,14,2,2,0.01
2,60,7,5,0.01
8,162,11,9,0.01
2,115,7,0,0.01
0,58,4,3,0.01
5,391,17,12,0.01
0,37,3,5,0.01
0,102,6,9,0.01
3,54,6,5,0.01
0,44,5,7,0.01
1,89,5,4,0.01
2,93,7,2,0.01
3,281,22,14,0.01
3,89,6,3,0.01
2,77,6,2,0.01
1,83,5,4,0.01
1,215,14,6,0.01
1,94,9,9,0.01
7,226,10,9,0.01
0,42,5,1,0.01
0,20,3,7,0.01
0,39,6,9,0.01
5,340,17,13,0.01
2,116,8,7,0.01
5,191,13,9,0.01
1,92,6,5,0.01
2,43,4,5,0.01
1,41,5,9,0.01
2,88,9,9,0.01
0,64,8,4,0.01
10,188,16,7,0.01
1,74,4,7,0.01
4,78,8,10,0.01
1,34,5,2,0.01
2,64,7,5,0.01
8,174,14,3,0.01
3,95,10,10,0.01
2,37,5,4,0.01
3,100,9,5,0.01
2,135,11,12,0.01
2,39,5,7,0.01
2,169,12,9,0.01
2,84,9,4,0.01
3,84,8,11,0.01
2,80,7,7,0.01
2,400,35,34,0.01
2,214,18,14,0.01
2,206,16,5,0.01
2,24,3,4,0.01
1,58,8,8,0.01
0,49,6,5,0.01
0,64,7,5,0.01
5,113,7,12,0.01
3,158,10,10,0.01
5,400,45,54,0.01
1,55,7,4,0.01
0,38,4,10,0.01
0,30,4,5,0.01
0,71,6,4,0.01
3,97,8,5,0.01
5,230,14,6,0.01
2,100,7,9,0.01
4,302,23,11,0.01
1,81,8,3,0.01
3,270,20,12,0.01
2,253,14,14,0.01
1,228,10,6,0.01
1,57,6,3,0.01
3,97,7,4,0.01
2,400,25,14,0.01
2,205,14,4,0.01
0,103,1,6,0.01
9,400,24,13,0.01
3,128,8,2,0.01
4,104,9,7,0.01
7,400,21,17,0.01
1,35,4,7,0.01
1,394,30,21,0.01
2,74,7,6,0.01
2,351,39,19,0.01
7,147,13,11,0.01
3,77,9,7,0.01
2,96,11,5,0.01
4,76,8,8,0.01
2,65,6,5,0.01
1,86,8,8,0.01
9,271,20,18,0.01
1,52,5,6,0.01
2,400,39,22,0.01
2,229,15,26,0.01
3,79,6,5,0.01
2,67,7,7,0.01
2,259,21,13,0.01
2,53,7,8,0.01
2,51,6,6,0.01
2,280,21,13,0.01
3,72,9,8,0.01
2,142,13,10,0.01
3,139,12,13,0.01
4,104,10,6,0.01
8,107,11,10,0.01
6,231,17,17,0.01
3,120,11,11,0.01
4,193,14,10,0.01
6,161,13,10,0.01
2,65,6,13,0.01
3,150,15,10,0.01
2,91,9,5,0.01
1,142,10,10,0.01
3,179,14,5,0.01
3,177,15,6,0.01
0,49,5,1,0.01
2,342,14,10,0.01
1,171,11,6,0.01
0,14,2,0,0.01
4,328,28,14,0.01
2,44,4,6,0.01
3,88,6,5,0.01
0,191,10,3,0.01
4,160,9,9,0.01
1,77,6,7,0.01
2,400,39,35,0.01
1,82,9,14,0.01
4,99,10,9,0.01
0,81,8,9,0.01
4,100,10,6,0.01
0,76,7,10,0.01
0,79,8,13,0.01
2,75,8,6,0.01
1,22,3,7,0.01
9,400,33,20,0.01
1,43,6,7,0.01
4,157,11,10,0.01
3,126,13,13,0.01
3,71,6,5,0.01
12,400,38,18,0.01
3,400,40,16,0.01
1,89,9,9,0.01
2,75,7,10,0.01
10,109,8,9,0.01
3,126,11,5,0.01
1,49,4,5,0.01
3,337,29,31,0.01
0,65,1,1,0.01
1,69,8,5,0.01
2,41,4,6,0.01
4,115,9,10,0.01
4,193,12,6,0.01
4,123,11,6,0.01
2,57,5,0,0.01
2,88,8,8,0.01
2,60,6,8,0.01
