9,274,28,17,0.06
2,132,16,9,0.05
4,300,15,19,0.05
4,400,17,18,0.05
8,377,27,15,0.04
5,229,22,13,0.04
0,42,1,6,0.04
6,400,18,11,0.04
0,64,7,5,0.04
0,184,1,3,0.03
4,191,20,16,0.03
2,149,10,10,0.03
5,400,24,17,0.03
2,400,11,11,0.03
9,341,29,11,0.03
8,400,24,12,0.03
8,400,26,15,0.02
4,400,14,12,0.02
0,16,1,3,0.02
2,385,11,13,0.02
6,400,23,17,0.02
8,360,26,9,0.02
9,400,28,16,0.02
5,400,22,13,0.02
0,7,1,3,0.02
4,400,18,5,0.02
7,400,28,14,0.02
6,389,25,20,0.02
9,400,38,11,0.02
2,38,4,3,0.02
2,155,10,3,0.02
3,173,12,4,0.02
0,61,6,4,0.02
4,400,21,13,0.01
3,103,9,6,0.01
3,151,14,7,0.01
3,217,14,5,0.01
5,144,12,9,0.01
6,400,23,7,0.01
0,118,1,3,0.01
6,325,23,10,0.01
5,222,19,6,0.01
1,65,8,1,0.01
0,67,3,1,0.01
3,128,10,5,0.01
2,48,5,0,0.01
1,102,11,5,0.01
3,119,12,8,0.01
3,345,18,9,0.01
7,400,35,19,0.01
5,68,8,2,0.01
5,88,8,5,0.01
9,300,35,10,0.01
3,168,18,11,0.01
2,84,9,5,0.01
1,57,7,3,0.01
2,51,5,6,0.01
4,170,19,12,0.01
6,137,13,7,0.01
3,132,15,6,0.01
0,26,2,1,0.01
3,400,14,12,0.01
3,184,16,8,0.01
3,140,12,4,0.01
7,199,22,10,0.01
1,108,7,4,0.01
3,202,14,3,0.5
0,17,1,5,0.49
0,11,1,4,0.47
0,21,3,6,0.45
0,48,3,10,0.4
1,22,2,5,0.38
0,7,1,3,0.38
0,13,1,3,0.37
1,49,4,10,0.34
0,35,4,6,0.32
0,14,2,5,0.31
0,29,3,4,0.3
0,9,1,3,0.3
0,57,1,5,0.27
1,30,3,7,0.26
0,31,4,5,0.25
0,31,4,6,0.24
0,28,3,7,0.23
2,63,3,8,0.22
1,36,3,6,0.21
0,21,3,5,0.21
0,12,1,3,0.2
1,91,11,13,0.19
0,7,1,3,0.19
3,80,9,10,0.17
0,17,1,1,0.17
6,191,17,9,0.15
3,77,9,10,0.14
0,76,9,10,0.14
0,19,2,1,0.13
2,44,5,4,0.13
3,181,10,7,0.12
6,238,24,14,0.1
2,115,10,8,0.1
2,148,18,12,0.09
2,70,6,6,0.09
1,77,8,5,0.09
1,54,4,3,0.08
1,55,6,6,0.08
5,172,14,7,0.08
0,215,1,9,0.07
2,98,9,4,0.07
4,154,13,10,0.07
5,400,19,18,0.06
0,7,1,0,0.06
3,136,6,7,0.06
1,81,8,4,0.06
3,266,20,9,0.05
5,400,24,21,0.05
3,307,28,16,0.04
2,179,15,6,0.04
4,119,13,8,0.04
5,133,14,5,0.04
6,211,22,11,0.04
1,71,9,8,0.04
2,86,10,12,0.04
5,118,8,13,0.04
1,71,8,4,0.04
2,64,7,9,0.04
6,211,23,13,0.03
6,293,28,16,0.03
6,332,31,25,0.03
3,184,20,19,0.03
1,98,12,4,0.03
1,41,5,5,0.03
0,5,1,3,0.03
8,316,33,27,0.03
3,91,11,6,0.03
5,140,16,9,0.03
0,15,2,1,0.03
0,20,3,5,0.03
5,275,26,17,0.02
1,117,15,11,0.02
6,195,19,13,0.02
5,188,19,16,0.02
1,25,3,2,0.02
6,218,23,20,0.02
2,83,10,7,0.02
2,146,16,8,0.02
3,119,12,8,0.02
0,42,5,1,0.02
8,400,34,11,0.02
4,195,21,17,0.02
0,29,3,2,0.02
1,58,5,4,0.02
5,339,34,11,0.02
6,166,16,11,0.02
1,118,14,17,0.02
4,242,9,7,0.02
7,315,22,12,0.02
2,255,11,8,0.02
2,238,19,13,0.02
2,190,14,6,0.02
6,400,22,12,0.02
6,400,26,13,0.02
0,64,8,5,0.02
1,16,2,4,0.01
1,72,5,3,0.01
7,162,15,9,0.01
4,400,23,14,0.01
1,41,5,4,0.5
0,29,2,9,0.47
0,5,1,2,0.46
0,16,2,5,0.44
0,5,1,4,0.44
0,16,2,8,0.42
0,9,1,5,0.41
2,93,7,16,0.34
0,79,2,11,0.31
0,42,5,9,0.29
1,24,3,6,0.27
0,37,1,6,0.26
0,5,1,3,0.26
0,27,1,5,0.25
1,72,5,10,0.23
0,75,1,8,0.22
0,9,1,2,0.21
0,72,4,15,0.19
2,156,9,12,0.17
5,280,21,21,0.14
0,43,4,7,0.13
5,302,13,22,0.11
3,122,13,10,0.11
0,36,3,3,0.1
0,112,2,7,0.1
4,377,10,18,0.08
0,19,1,3,0.08
0,115,1,7,0.08
1,61,4,1,0.08
4,170,7,15,0.07
0,78,2,4,0.07
0,23,2,2,0.07
0,53,3,4,0.07
0,39,4,6,0.06
2,400,11,31,0.06
6,335,22,15,0.05
4,240,18,18,0.05
0,70,1,4,0.05
2,400,13,10,0.05
6,400,23,13,0.04
4,118,8,8,0.04
0,36,2,2,0.04
4,99,8,5,0.04
3,109,11,11,0.04
2,133,9,7,0.04
0,45,1,4,0.04
0,48,6,0,0.04
5,310,22,11,0.03
2,92,7,4,0.03
3,400,6,7,0.03
3,400,14,15,0.03
0,58,1,4,0.03
3,140,9,5,0.03
5,400,20,10,0.03
5,400,25,9,0.03
5,400,22,11,0.02
7,282,25,11,0.02
2,400,12,11,0.02
3,400,14,20,0.02
3,400,18,13,0.02
0,56,4,2,0.02
1,130,11,8,0.02
0,25,3,2,0.02
5,247,20,5,0.02
5,114,11,3,0.02
1,82,9,3,0.02
3,400,15,4,0.02
3,103,11,4,0.02
3,400,13,14,0.02
4,400,19,11,0.02
3,77,9,4,0.02
0,49,5,1,0.02
6,278,18,6,0.02
7,400,27,16,0.02
2,130,10,1,0.02
4,241,22,10,0.02
1,233,14,5,0.02
7,400,20,7,0.01
1,143,13,5,0.01
2,104,10,7,0.01
2,144,7,5,0.01
1,160,11,12,0.01
2,61,6,1,0.01
1,119,10,4,0.01
3,59,6,3,0.01
0,137,4,5,0.01
3,400,16,17,0.01
1,400,5,9,0.01
