Score,Steps,Bombs_placed,Invalid_moves,Epsilon
2,67,3,5,0.01
0,245,9,9,0.01
1,24,3,4,0.01
0,357,12,9,0.01
4,232,8,10,0.01
0,6,1,0,0.01
0,118,6,6,0.01
1,217,6,6,0.01
1,247,11,14,0.01
2,124,6,9,0.01
3,80,4,8,0.01
5,400,34,59,0.01
1,61,4,10,0.01
2,400,33,42,0.01
3,400,23,30,0.01
5,91,3,1,0.01
1,77,8,11,0.01
5,255,12,20,0.01
2,46,4,8,0.01
2,132,10,16,0.01
1,400,23,35,0.01
2,102,10,14,0.01
4,71,5,7,0.01
1,25,3,6,0.01
3,108,5,3,0.01
4,156,10,10,0.01
2,194,8,14,0.01
1,400,23,28,0.01
2,346,20,24,0.01
1,73,5,5,0.01
2,158,7,16,0.01
5,182,7,8,0.01
2,79,4,9,0.01
2,94,8,13,0.01
2,18,2,3,0.01
7,133,7,9,0.01
1,110,6,10,0.01
7,348,14,17,0.01
4,155,5,6,0.01
2,205,9,9,0.01
2,400,28,24,0.01
5,400,23,17,0.01
3,86,5,7,0.01
2,104,5,7,0.01
1,88,7,8,0.01
4,102,5,10,0.01
7,151,12,10,0.01
5,131,7,11,0.01
0,25,3,4,0.01
1,93,8,8,0.01
0,124,7,6,0.01
0,40,4,0,0.01
1,312,12,26,0.01
3,191,10,18,0.01
2,372,19,24,0.01
3,86,8,13,0.01
4,165,7,7,0.01
2,294,16,18,0.01
1,100,6,9,0.01
4,203,8,14,0.01
1,43,4,10,0.01
2,229,12,19,0.01
7,359,14,24,0.01
1,400,17,34,0.01
3,393,26,38,0.01
3,143,6,12,0.01
0,22,3,0,0.01
4,400,38,65,0.01
0,64,4,9,0.01
7,272,13,11,0.01
2,163,10,17,0.01
3,121,5,6,0.01
0,41,4,6,0.01
2,53,4,5,0.01
1,46,4,12,0.01
1,52,5,8,0.01
0,20,3,7,0.01
8,306,16,20,0.01
2,68,6,8,0.01
1,36,5,11,0.01
2,333,19,25,0.01
4,64,6,3,0.01
4,400,41,84,0.01
4,350,12,12,0.01
2,124,7,10,0.01
9,400,28,53,0.01
2,331,24,32,0.01
0,20,3,3,0.01
1,133,5,11,0.01
0,101,4,9,0.01
2,254,13,19,0.01
6,400,22,31,0.01
2,63,6,7,0.01
0,22,3,6,0.01
3,400,33,33,0.01
4,210,12,14,0.01
3,400,29,33,0.01
0,389,6,7,0.01
4,400,20,28,0.01
4,295,8,7,0.01
2,124,7,11,0.01
2,107,7,7,0.01
2,130,9,7,0.01
1,35,4,4,0.01
1,400,8,9,0.01
5,400,16,18,0.01
4,259,15,14,0.01
7,344,21,16,0.01
2,54,3,4,0.01
1,143,5,10,0.01
3,312,28,40,0.01
3,400,18,16,0.01
1,31,4,9,0.01
4,103,7,6,0.01
6,386,30,26,0.01
0,21,3,7,0.01
2,394,17,15,0.01
2,58,4,1,0.01
7,253,12,9,0.01
2,95,5,8,0.01
0,30,4,8,0.01
1,25,3,0,0.01
4,292,11,13,0.01
7,274,19,17,0.01
1,153,8,9,0.01
7,400,21,15,0.01
1,182,6,10,0.01
3,400,12,23,0.01
1,94,5,12,0.01
3,400,16,16,0.01
3,400,16,10,0.01
2,400,24,14,0.01
2,400,22,22,0.01
3,400,21,32,0.01
9,395,31,30,0.01
2,27,3,0,0.01
0,58,6,6,0.01
2,64,4,6,0.01
3,105,7,12,0.01
4,400,15,16,0.01
0,20,3,3,0.01
3,287,12,5,0.01
0,20,3,4,0.01
0,20,3,5,0.01
0,309,9,6,0.01
2,86,7,10,0.01
2,67,6,11,0.01
1,169,9,11,0.01
9,400,32,32,0.01
5,134,8,9,0.01
0,20,3,7,0.01
3,400,7,6,0.01
1,247,7,14,0.01
3,400,25,32,0.01
3,205,7,9,0.01
3,74,5,5,0.01
1,139,6,19,0.01
2,400,17,30,0.01
0,22,3,6,0.01
3,119,8,8,0.01
1,400,26,37,0.01
2,400,15,17,0.01
1,56,5,10,0.01
1,70,5,6,0.01
1,22,3,6,0.01
2,83,5,1,0.01
2,122,5,4,0.01
0,232,13,11,0.01
1,400,27,52,0.01
3,400,24,29,0.01
1,304,15,17,0.01
4,400,12,17,0.01
5,220,6,8,0.01
5,400,11,23,0.01
2,66,5,4,0.01
0,159,7,12,0.01
4,386,13,23,0.01
0,127,6,8,0.01
4,258,8,15,0.01
3,56,5,3,0.01
3,94,7,9,0.01
11,398,20,19,0.01
3,74,6,3,0.01
2,83,7,15,0.01
4,126,4,8,0.01
0,20,3,6,0.01
4,159,8,16,0.01
1,339,18,23,0.01
2,400,23,28,0.01
1,65,6,10,0.01
2,37,4,7,0.01
0,13,2,1,0.01
2,118,5,8,0.01
3,340,13,10,0.01
0,400,20,41,0.01
2,73,3,5,0.01
1,56,4,2,0.01
3,128,6,6,0.01
0,91,10,16,0.01
4,219,14,12,0.01
1,69,3,4,0.01
4,384,18,23,0.01
1,79,6,7,0.01
1,15,2,1,0.01
3,82,6,15,0.01
1,400,21,16,0.01
8,101,5,4,0.01
3,109,4,7,0.01
2,101,5,8,0.01
1,317,18,14,0.01
5,400,36,63,0.01
9,152,6,9,0.01
4,345,11,18,0.01
3,400,8,9,0.01
2,400,9,10,0.01
2,157,5,6,0.01
4,400,31,43,0.01
2,79,8,11,0.01
2,74,3,3,0.01
4,219,10,8,0.01
2,266,12,12,0.01
0,20,3,3,0.01
2,400,37,75,0.01
2,88,6,8,0.01
2,170,7,8,0.01
0,13,2,1,0.01
1,106,5,5,0.01
3,90,4,11,0.01
4,295,12,10,0.01
0,63,6,9,0.01
3,386,18,19,0.01
3,206,8,10,0.01
2,264,19,20,0.01
2,116,5,7,0.01
7,400,25,32,0.01
4,109,9,14,0.01
5,400,13,26,0.01
0,145,8,11,0.01
1,24,3,5,0.01
1,102,5,5,0.01
0,152,5,12,0.01
1,43,4,9,0.01
3,246,11,12,0.01
1,155,6,3,0.01
4,184,9,4,0.01
1,88,3,3,0.01
7,119,5,7,0.01
2,286,10,18,0.01
1,84,8,5,0.01
1,33,4,1,0.01
3,139,7,9,0.01
0,7,1,3,0.01
3,175,8,9,0.01
3,138,5,7,0.01
0,32,3,0,0.01
2,329,26,34,0.01
2,61,6,6,0.01
0,400,18,16,0.01
6,400,32,50,0.01
2,36,4,8,0.01
0,286,6,6,0.01
5,114,7,11,0.01
1,58,5,8,0.01
5,383,15,23,0.01
2,56,6,6,0.01
